´ë¿©¼Ò_ID,nearest_subway_dist_m,nearest_bus_dist_m
ST-448,494.37,34.07
ST-447,214.7,141.27
ST-446,863.72,46.81
ST-445,180.21,98.39
ST-444,377.82,57.38
ST-443,390.41,23.1
ST-442,512.84,55.22
ST-441,346.38,21.0
ST-440,639.7,53.34
ST-439,423.41,11.22
ST-438,99.28,73.06
ST-437,243.49,23.05
ST-436,103.29,179.45
ST-435,120.39,72.23
ST-434,487.99,53.26
ST-433,907.7,35.23
ST-432,1649.45,45.99
ST-431,564.15,20.75
ST-430,435.0,38.0
ST-43,570.14,75.08
ST-429,503.9,78.57
ST-428,562.04,176.6
ST-427,511.88,173.99
ST-426,91.65,121.12
ST-425,376.71,309.24
ST-424,251.43,111.91
ST-422,245.69,35.63
ST-421,410.57,153.7
ST-420,437.29,76.14
ST-42,744.75,74.87
ST-419,365.57,36.85
ST-418,392.99,25.41
ST-417,549.18,46.07
ST-416,516.64,29.79
ST-414,796.57,290.23
ST-413,87.84,69.28
ST-410,893.28,71.89
ST-41,167.34,135.01
ST-409,175.76,61.08
ST-408,49.77,42.9
ST-407,287.91,85.37
ST-406,544.54,504.51
ST-405,776.21,544.46
ST-404,847.6,17.66
ST-403,556.19,30.51
ST-402,476.43,86.02
ST-401,328.49,47.77
ST-400,61.4,61.16
ST-40,496.65,99.21
ST-4,70.98,57.81
ST-399,182.78,68.95
ST-398,203.3,62.82
ST-397,215.99,157.14
ST-396,937.0,44.83
ST-395,1421.25,54.97
ST-394,561.59,296.88
ST-393,426.31,29.07
ST-392,463.32,27.97
ST-391,589.27,38.43
ST-390,903.96,88.02
ST-39,250.12,57.68
ST-389,798.84,23.81
ST-388,265.26,74.25
ST-387,80.66,57.04
ST-386,293.57,10.77
ST-385,71.03,99.77
ST-384,843.54,45.75
ST-383,202.65,23.41
ST-382,284.88,61.93
ST-381,377.68,52.27
ST-380,418.41,75.26
ST-38,337.99,86.87
ST-379,666.8,119.67
ST-378,223.48,76.31
ST-377,531.4,33.29
ST-376,232.57,116.1
ST-375,389.51,26.33
ST-374,311.1,263.02
ST-373,12.31,27.19
ST-372,140.58,35.94
ST-371,706.76,40.88
ST-370,381.67,24.15
ST-37,249.81,127.12
ST-369,422.32,38.98
ST-368,99.16,60.69
ST-367,220.21,220.43
ST-366,55.93,51.09
ST-365,29.0,64.08
ST-364,704.92,50.93
ST-363,585.08,140.92
ST-362,88.96,13.29
ST-361,617.62,38.6
ST-360,21.0,9.58
ST-36,322.96,101.72
ST-359,310.64,53.21
ST-358,487.46,20.77
ST-357,234.86,247.89
ST-356,692.04,24.88
ST-355,670.71,83.23
ST-354,254.09,40.65
ST-353,87.32,106.75
ST-352,943.63,28.04
ST-351,225.05,32.32
