"구분별(1)",구분별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),통근함 (%),통근시 평균 소요 시간(편도기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근 지역별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분),통근시 이용 교통수단별 평균 소요 시간(편도 기준) (분)
"구분별(1)",구분별(2),소계,소계,거주시군내,도내다른 시군,서울,인천,타 시도,승용차,버스,전철 지하철,택시,기차,걸어서,자전거,승합차,기타
"지역별",광명시,61.8,44.8,22.8,57.4,52.5,62.7,105.1,46.7,40.7,61.1,37.4,99.9,16.7,23.3,45.3,25.1
"지역별",평택시,65.5,30.7,24.7,41.5,99.8,120.0,51.9,29.8,40.4,53.1,20.0,81.6,13.1,27.4,36.0,17.1
"지역별",동두천시,54.0,31.2,15.3,37.7,86.0,103.7,147.8,28.6,31.7,70.6,30.0,0.0,13.3,13.4,65.8,33.1
"지역별",안산시,62.9,38.7,27.2,52.3,87.3,67.2,95.3,35.8,44.2,64.0,31.4,0.0,14.0,23.8,39.3,47.6
"지역별",고양시,60.6,45.3,24.2,54.4,68.8,63.3,103.8,41.1,48.0,66.7,25.5,109.8,14.3,17.5,46.8,38.0
"지역별",과천시,57.1,45.7,18.4,46.4,52.5,73.8,110.1,41.7,46.4,56.2,0.0,120.0,15.1,20.6,33.9,10.0
"지역별",구리시,59.8,43.7,19.1,48.9,59.2,90.0,83.9,41.2,50.6,68.3,0.0,90.0,15.2,20.2,55.6,31.4
"지역별",남양주시,59.6,44.4,23.9,51.1,67.6,97.4,95.4,39.8,54.1,75.8,23.6,0.0,12.7,34.7,37.0,44.5
"지역별",오산시,66.8,34.4,23.2,38.3,89.4,99.9,63.2,31.7,44.5,61.2,40.0,90.0,17.3,17.5,45.0,27.7
"지역별",시흥시,66.4,38.0,24.5,48.5,71.8,42.1,87.3,37.0,45.6,56.4,34.8,0.0,15.2,21.5,51.1,37.9
"지역별",군포시,62.0,43.3,20.5,46.9,71.3,68.8,96.1,41.2,41.2,61.6,25.9,90.0,15.8,25.0,42.5,63.7
"지역별",의왕시,62.7,42.8,20.4,38.1,68.6,76.2,102.9,38.5,45.0,68.3,28.6,141.7,18.1,16.9,48.6,47.4
"지역별",하남시,64.7,40.5,20.0,53.2,50.3,60.0,95.0,40.8,43.7,57.1,34.3,0.0,13.0,22.4,29.1,56.0
"지역별",용인시,57.9,42.1,25.4,45.5,74.0,76.5,89.4,38.0,52.5,60.4,49.8,130.0,14.5,24.4,50.0,25.1
"지역별",파주시,59.9,32.9,22.5,39.1,78.0,75.1,135.0,31.8,34.8,71.1,30.0,0.0,10.8,15.5,34.7,20.5
"지역별",이천시,68.0,24.8,19.0,46.0,83.8,90.0,66.1,25.7,29.8,75.4,24.9,0.0,12.6,14.9,22.6,34.7
