"구분별(1)",구분별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),통근통학함 (%),통근·통학 평균 소요 시간(편도 기준) (분),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%)
"구분별(1)",구분별(2),소계,소계,거주시군내,도내다른 시군,서울,인천,타 시도,승용차,버스,전철 지하철,택시,기차,걸어서,자전거,승합차,기타
"경기도",남부,70.6,39.7,55.2,22.4,17.7,2.2,2.5,48.6,21.5,13.6,0.2,0.2,12.3,1.2,1.5,0.9
"경기도",북부,67.4,40.7,54.8,15.0,27.9,0.9,1.4,49.2,18.3,16.4,0.2,0.1,12.5,1.2,1.2,1.0
"지역별",수원시,71.7,41.0,55.0,30.9,10.9,0.8,2.4,45.7,25.3,10.7,0.2,0.4,14.3,1.2,1.5,0.8
"지역별",성남시,68.9,42.2,54.1,15.9,26.9,0.6,2.5,36.5,28.6,21.2,0.2,0.0,10.8,0.9,1.3,0.4
"지역별",의정부시,66.5,41.3,45.3,21.5,32.1,0.5,0.6,41.3,20.3,20.7,0.2,0.0,12.8,2.2,1.1,1.4
"지역별",안양시,70.1,41.9,43.1,28.8,24.6,2.1,1.4,36.4,28.1,19.1,0.2,0.1,11.6,1.6,2.0,0.9
"지역별",부천시,68.3,43.0,47.3,11.9,29.6,10.0,1.3,36.8,18.9,26.1,0.5,0.0,13.4,2.3,1.0,1.0
"지역별",광명시,70.7,45.4,35.3,14.4,44.6,3.3,2.4,33.9,25.0,24.1,0.5,0.4,12.9,1.1,1.0,1.0
"지역별",평택시,72.1,31.5,76.4,13.7,2.8,0.1,6.9,59.7,20.4,3.7,0.1,0.5,10.1,1.3,2.9,1.5
"지역별",동두천시,61.4,33.1,54.0,32.6,11.9,0.7,0.8,49.5,9.1,15.7,0.1,0.2,18.9,2.6,1.9,2.1
"지역별",안산시,71.9,39.0,67.0,22.5,7.2,1.4,1.8,50.2,19.8,13.7,0.4,0.0,12.1,1.7,1.1,1.0
"지역별",고양시,68.0,45.6,51.1,11.1,34.3,1.7,1.8,43.1,18.3,24.0,0.2,0.3,11.8,1.0,0.8,0.5
"지역별",과천시,66.8,45.8,22.3,25.8,48.8,1.6,1.5,35.6,18.2,34.8,0.0,0.3,8.9,1.7,0.4,0.1
"지역별",구리시,67.7,44.3,35.8,19.1,41.5,0.1,3.5,41.3,27.3,13.9,0.1,0.2,13.7,1.2,1.3,1.0
"지역별",남양주시,68.2,44.5,49.6,14.4,33.8,0.5,1.7,52.5,19.0,14.7,0.2,0.1,10.8,0.8,0.9,0.9
"지역별",오산시,74.3,35.7,46.8,44.5,4.7,0.4,3.5,58.6,22.4,5.0,0.1,0.2,9.6,1.3,2.1,0.7
"지역별",시흥시,74.3,38.9,56.8,22.1,12.0,6.7,2.4,55.3,16.5,10.7,0.1,0.1,12.2,1.6,2.2,1.3
